hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
Ks3s,36.146,0.458,0.124,0,0.023,0.153,0.157,27.175,0,5.084,33.429,34.312,1.4775,1.4765,1.4774,1.4759,1.4797,1.4765
Kh8h,36.134,0.308,0,0,0,0.005,0.303,0,0,0,1.571,98.429,1.1085,1.0168,1.0498,1.1021,1.1087,1.1085
Kc2c,35.953,0.576,0.16,0,0.038,0.094,0.284,27.851,0.002,6.542,16.268,49.337,1.55,1.5495,1.5501,1.5484,1.552,1.5499
Kd2d,35.922,0.576,0.1,0,0.044,0.125,0.307,17.295,0.006,7.704,21.763,53.231,1.4378,1.4372,1.4378,1.4356,1.4397,1.4374
Ks2s,35.867,0.576,0.222,0,0.038,0.103,0.213,38.58,0.003,6.573,17.919,36.925,1.4657,1.4653,1.4657,1.4641,1.4674,1.4656
Kh7h,35.376,0.368,0,0,0.006,0.067,0.295,0,0,1.711,18.124,80.164,1.1156,1.0666,1.0758,1.1151,1.1168,1.1153
Jc9c,33.684,0.408,0.363,0,0.007,0,0.038,88.96,0.003,1.837,0,9.2,1.4428,1.4428,1.4428,1.4426,1.4171,1.4426
Jd9d,33.623,0.408,0.315,0,0.018,0,0.075,77.274,0,4.449,0,18.277,1.4224,1.4226,1.4217,1.4218,1.4058,1.4217
Kh5h,33.504,0.466,0,0,0.002,0.022,0.442,0,0,0.434,4.751,94.816,1.0166,0.9536,0.9941,1.0163,1.0173,1.0166
Js9s,33.451,0.408,0.294,0,0.015,0,0.099,72.014,0.005,3.644,0,24.337,1.3884,1.3885,1.3884,1.3877,1.371,1.3879
Kh4h,33.162,0.532,0,0,0.02,0.129,0.383,0,0,3.77,24.212,72.018,1.0239,0.9819,1.0204,1.0227,1.0247,1.0237
Kh3h,32.971,0.458,0,0,0.037,0.184,0.237,0,0,7.972,40.262,51.766,1.0522,1.0125,1.052,1.0496,1.0537,1.0514
Jc8c,32.933,0.492,0.214,0,0.051,0.049,0.179,43.421,0.012,10.301,9.897,36.369,1.4569,1.4573,1.4568,1.4541,1.4584,1.457
Jd8d,32.803,0.492,0.15,0,0.054,0.102,0.186,30.433,0.011,10.911,20.743,37.902,1.4339,1.4341,1.4338,1.4304,1.4356,1.4339
Js8s,32.699,0.492,0.165,0,0.037,0.077,0.213,33.549,0.002,7.514,15.607,43.327,1.406,1.4058,1.4059,1.4037,1.4077,1.4059
Kh2h,32.636,0.576,0,0,0.045,0.285,0.246,0,0,7.744,49.499,42.757,1.0525,1.0437,1.0519,1.0502,1.0535,1.0517
Jc7c,31.235,0.354,0.071,0,0.021,0.108,0.153,20.172,0,5.954,30.591,43.283,1.3669,1.3665,1.3664,1.3649,1.3686,1.3662
Jd7d,31.123,0.354,0.032,0,0.017,0.156,0.149,9.087,0,4.746,44.201,41.966,1.3422,1.3418,1.3415,1.3401,1.3438,1.3409
Js7s,31.082,0.354,0.026,0,0.015,0.131,0.182,7.43,0.001,4.226,36.988,51.355,1.3121,1.3118,1.3118,1.3109,1.3135,1.3112
Td9d,30.747,0.396,0.367,0,0.01,0,0.019,92.579,0.003,2.531,0,4.887,1.5877,1.5877,1.5877,1.5873,1.5785,1.5875
Tc9c,30.74,0.396,0.365,0,0.007,0,0.024,92.197,0,1.741,0,6.062,1.5873,1.5873,1.5872,1.587,1.5739,1.5872
Ts9s,30.616,0.396,0.32,0,0.009,0,0.067,80.843,0,2.178,0,16.979,1.5614,1.5614,1.56,1.561,1.5529,1.5612
Jc9d,30.544,0.466,0.089,0,0.012,0.122,0.242,19.205,0,2.628,26.196,51.972,1.1082,1.1081,1.1078,1.1075,1.1094,1.1077
Jc9s,30.516,0.466,0.147,0,0.016,0.101,0.202,31.529,0,3.443,21.754,43.273,1.1164,1.1163,1.1162,1.1156,1.1183,1.1157
Jd9c,30.504,0.466,0.028,0,0.012,0.152,0.274,5.961,0,2.566,32.638,58.836,1.0948,1.0948,1.0944,1.094,1.0959,1.0942
Js9c,30.459,0.466,0.089,0,0.014,0.108,0.255,18.997,0,3.012,23.25,54.74,1.097,1.0972,1.0968,1.0963,1.0982,1.0964
Jd9s,30.456,0.466,0.059,0,0.012,0.14,0.255,12.62,0,2.589,29.99,54.8,1.098,1.0981,1.0974,1.0973,1.0992,1.0974
Jc9h,30.444,0.466,0.137,0,0.031,0.083,0.215,29.367,0.011,6.624,17.915,46.083,1.0848,1.0848,1.0846,1.0818,1.0868,1.0844
Js9d,30.438,0.466,0.07,0,0.008,0.12,0.268,14.915,0,1.786,25.828,57.47,1.0924,1.0925,1.0923,1.0922,1.0933,1.092
Jd9h,30.384,0.466,0.007,0,0.046,0.124,0.289,1.609,0.01,9.788,26.566,62.028,1.0662,1.066,1.0661,1.0627,1.0676,1.0662
Jh9c,30.376,0.466,0.093,0,0.033,0.143,0.198,19.898,0.001,7.07,30.638,42.393,1.0672,1.0669,1.067,1.0634,1.0689,1.0667
Jh9d,30.354,0.466,0.034,0,0.021,0.181,0.23,7.369,0,4.594,38.787,49.251,1.0626,1.0621,1.0624,1.0598,1.0637,1.062
Js9h,30.339,0.466,0.109,0,0.021,0.094,0.242,23.361,0.007,4.508,20.101,52.024,1.069,1.0687,1.069,1.0667,1.0706,1.0688
Jh9s,30.328,0.466,0.118,0,0.014,0.136,0.197,25.411,0,3.103,29.121,42.365,1.0704,1.0703,1.07,1.0686,1.0719,1.0696
Jh9h,30.265,0.408,0.077,0,0.2,0.02,0.111,18.877,0.021,48.969,4.858,27.276,1.0404,1.0414,1.0408,1.0391,1.0426,1.0417
